Time,DroppedFrames
00:01,0
00:02,0
00:03,0
00:03,0
00:03,0
00:03,0
00:04,1
00:05,1
00:06,1
00:07,1
00:08,1
00:09,1
00:10,1
00:11,1
00:12,1
00:13,1
00:14,1
00:15,1
00:16,1
00:17,1
00:18,1
00:19,1
00:20,1
00:21,1
00:22,1
00:23,1
00:24,1
00:25,1
00:26,1
00:27,1
00:28,1
00:29,1
00:30,1
00:31,1
00:32,1
00:33,1
00:34,1
00:35,1
00:36,1
00:37,1
00:38,1
00:39,1
00:40,1
00:41,1
00:42,1
00:43,1
00:44,1
00:45,1
00:46,1
00:47,1
00:48,1
00:49,1
00:50,1
00:51,1
00:52,1
00:53,1
00:54,1
00:55,1
00:56,1
00:57,1
00:58,1
00:59,1
01:00,1
01:01,1
01:02,1
01:03,1
01:04,1
01:05,1
01:06,1
01:07,1
01:08,1
01:09,1
01:10,1
01:11,1
01:12,1
01:13,1
01:14,1
01:15,1
01:16,1
01:17,1
01:18,1
01:19,1
01:20,1
01:21,1
01:22,1
01:23,1
01:24,1
01:25,1
01:26,1
01:27,1
01:28,1
01:29,1
01:30,1
01:31,1
01:32,1
01:33,1
01:34,1
01:35,1
01:36,1
01:37,1
01:38,1
01:39,1
01:40,1
01:41,1
01:42,1
01:43,1
01:44,1
01:45,1
01:46,1
01:47,1
01:48,1
01:49,1
01:50,1
01:51,1
01:52,1
01:53,1
01:54,1
01:55,1
01:56,1
01:57,1
01:58,1
01:59,1
02:00,1
02:01,1
02:02,1
02:03,1
02:04,1
02:05,1
02:06,1
02:07,1
02:08,1
02:09,1
02:10,1
02:11,1
02:12,1
02:13,1
02:14,1
02:15,1
02:16,1
02:17,1
02:18,1
02:19,1
02:20,1
02:21,1
02:22,1
02:23,1
02:24,1
02:25,1
02:26,1
02:27,1
02:28,1
02:29,1
02:30,1
02:31,1
02:32,1
02:33,1
02:34,1
02:35,1
02:36,1
02:37,1
02:38,1
02:39,1
02:40,1
02:41,1
02:42,1
02:43,1
02:44,1
02:45,1
02:46,1
02:47,1
02:48,1
02:49,1
02:50,1
02:51,1
02:52,1
02:53,1
02:54,1
02:55,1
02:56,1
02:57,1
02:58,1
02:59,1
03:00,1
03:01,1
03:02,1
03:03,1
03:04,1
03:05,1
03:06,1
03:07,1
03:08,1
03:09,1
03:10,1
03:11,1
03:12,1
03:13,1
03:14,1
03:15,1
03:16,1
03:17,1
03:18,1
03:19,1
03:20,1
03:21,1
03:22,1
03:23,1
03:24,1
03:25,1
03:26,1
03:27,1
03:28,1
03:29,1
03:30,1
03:31,1
03:32,1
03:33,1
03:34,1
03:35,1
03:36,1
03:37,1
03:38,1
03:39,1
03:40,1
03:41,1
03:42,1
03:43,1
03:44,1
03:45,1
03:46,1
03:47,1
03:48,1
03:49,1
03:50,1
03:51,1
03:52,1
03:53,1
03:54,1
03:55,1
03:56,1
03:57,1
03:58,1
03:59,1
04:00,1
04:01,1
04:02,1
04:03,1
04:04,1
04:05,1
04:06,1
04:07,1
04:08,1
04:09,1
04:10,1
04:11,1
04:12,1
04:13,1
04:14,1
04:15,1
04:16,1
04:17,1
04:18,1
04:19,1
04:20,1
04:21,1
04:22,1
04:23,1
04:24,1
04:25,1
04:26,1
04:27,1
04:28,1
04:29,1
04:30,1
04:31,1
04:32,1
04:33,1
04:34,1
04:35,1
04:36,1
04:37,1
04:38,1
04:39,1
04:40,1
04:41,1
04:42,1
04:43,1
04:44,1
04:45,1
04:46,1
04:47,1
04:48,1
04:49,1
04:50,1
04:51,1
04:52,1
04:53,1
04:54,1
04:55,1
04:56,1
04:57,1
04:58,1
04:59,1
